timestamp,label,accelX,accelY,accelZ,gyroX,gyroY
292712.0,REST,-2.6504,-0.5938,7.4268,0.006014,-0.041114
292721.0,REST,-2.2721,-1.8196,7.9895,0.002402,-0.039271
292731.0,REST,-2.6671,-0.5052,6.3494,-0.005657,-0.042166
292742.0,REST,-2.5163,-1.901,7.7476,-0.007148,-0.043896
292752.0,REST,-1.8507,-2.8635,8.6622,-0.009993,-0.04203
292761.0,REST,-2.1476,-1.8507,9.3206,-0.010884,-0.040377
292771.0,REST,-1.0534,-2.5067,7.5106,-0.004828,-0.037615
292782.0,REST,-2.2218,-3.4644,6.5601,0.002895,-0.043986
292792.0,REST,-2.873,-1.9848,5.7174,0.00854,-0.049722
292801.0,REST,-1.573,-0.0263,6.6152,0.011031,-0.049355
292811.0,REST,-2.3439,-0.1006,7.2856,0.011265,-0.048848
292822.0,REST,-2.2505,-2.387,7.8721,0.0098,-0.053932
292832.0,REST,-2.0997,-2.2003,6.9408,0.004685,-0.051124
292841.0,REST,-0.3807,-3.6679,8.9543,0.008106,-0.043495
292851.0,REST,0.4142,-2.1237,6.8259,0.007966,-0.038991
292861.0,REST,-1.087,-3.4357,5.1499,0.007214,-0.04013
292872.0,REST,0.1269,-5.4803,7.4915,0.011622,-0.049995
292882.0,REST,0.2131,-3.2992,5.9999,0.012165,-0.053091
292891.0,REST,-0.6656,-2.399,4.8363,0.01084,-0.051037
292901.0,REST,0.4381,-4.7884,6.5266,0.010632,-0.049395
292912.0,REST,-0.3591,-2.4612,7.9583,0.011319,-0.050478
292922.0,REST,-0.2514,-2.5977,7.5896,0.009684,-0.047775
292931.0,REST,-0.1652,-2.1644,4.6448,0.010454,-0.051528
292941.0,REST,-1.4317,-2.5833,6.596,0.005207,-0.046589
292952.0,REST,-0.8092,-2.6576,6.7062,0.00117,-0.041413
292962.0,REST,-0.6057,-3.2513,6.5457,-0.002166,-0.035833
292971.0,REST,-1.5083,-2.2434,7.2472,-0.006434,-0.03899
292981.0,REST,-2.3535,-2.3176,8.8849,-0.001108,-0.03949
292992.0,REST,-2.3607,-2.2817,9.6462,0.005124,-0.040263
293002.0,REST,-2.885,-2.4852,9.335,0.007179,-0.04376
293012.0,REST,-1.9106,-0.6057,7.1299,0.007811,-0.048422
293021.0,REST,-0.9505,-3.6607,7.0461,0.008529,-0.049274
293031.0,REST,-2.7988,-2.5618,6.7756,0.004627,-0.055445
293042.0,REST,-3.9935,-1.47,7.4196,0.002784,-0.061767
293052.0,REST,-0.8882,-1.585,7.7381,0.001364,-0.061975
293061.0,REST,0.3687,-2.2242,7.999,0.003478,-0.058678
293071.0,REST,-2.2242,-2.545,7.1539,0.000959,-0.057799
293082.0,REST,-3.6464,-2.6145,6.4212,-9.7e-05,-0.05523
